name,rating,comments,date_of_experience
D And,5 reviews,"I booked a car for a destination but had a 16 year old girl we needed to drop on the wayexactly on the way not off the route at all , I am a new customer and didn't realise that would be a problem the driver refused to stop on the way even though I apologised and offered to pay extra, he said to book another car but that he would not do the job as he was tired, I explained that this young girl could be stranded but he still said no, he was very rude, I cannot recommend Bolt to anyone after that experience and am extremely disappointed, we had to order a different taxi so feel we should have received a refund appalling",18-Dec-22
smart boy,1 review,I have to ask why company select like this people I am make order after I see waiting time 4 minute but he is go another way then I call him he said he he is coming after I am waiting for him 30 minutes but he is not come his car namber 3424AAD,1-Jan-23
Tom,1 review,"My Bolt driver demanded cash from us for the lift we had booked, claiming we booked a certain type of cab and not the other.
He drove us to a cash machine and made us take out an extra twenty and give it to him.
Overall, what was advertised as a £90 trip ended up being closer to £160 when you take in the new journey cost and the extra fare.
Would never have taken the journey with him having known that. He made us feel very uncomfortable and pressured, and I am now down over 150 for around 50 minute drive (admittedly on New Years). The driver made a point of saying we wouldn’t be able to get any other cabs and that he was our only option, so we better pay up.
Bolt customer service have been extremely unhelpful, refusing to refund me for the money demanded by their employee.",1-Jan-23
Maria M,1 review,"The drive took me to another address and did not listen to me. Apparently their map is wrong, I showed the address on google maps on my mobile phone, but he denied to drive me to my destination and dropped me off somewhere else far from it! Bolt support does not help me as well.",30-Dec-22
Luke Thurston,2 reviews,"Charged me double!

Awful company took my girlfriend and I to Liverpool from Manchester. When we checked the bill we were charged twice the amount and looking into it the driver charged us for his journey home. We spoke to bolt who wouldn’t refund us, only credit our bolt account, which is no good as we have no intention of using them again. Luckily enough due to their greediness the amount bounced, and I cancelled my card so they won’t get the money. Karma- this company will be bust soon hopefully",28-Dec-22
Rohit Pradeep,1 review,The price for the trip was £115 while I was trying to book. How did the price increase to £176 after completing the trip?. No response from customer service.,1-Jan-23
Manjinder Rai,3 reviews,The worst driver and the worst customer service. Thought I’d use it as it was cheaper than Uber. But never again I will use their services. Charged me twice. And a waiting charge?? He was parked elsewhere even though I put the correct address on my app. He was like I’m following what it says on the app. He was being very rude and aggressive towards me. I’d rather pay a bit more to use Uber than this scum of a company!! They don’t deserve the one star either !!!,27-Dec-22
Salman Kaleem,3 reviews,My wife booked a ride from st Marty's hospital Manchester towards home today in the morning around at 10:30. Driver didn't turn up then he rang asking whereabouts she is. Location wasn't far .driver was just around the corner of children hospital. He came to pick my wife up and started asking personal questions. He said you don't sound like arab ohh you are Asian do you have husband and stuff like this .. complete insane pervert people are driving taxis around Manchester . And over charged not gonna use this taxi service again,28-Dec-22
Andrew Mcloughlin,1 review,Absolute waste of time booked on the App in Birmigham City was showing loads of cars few minutes away from me yet for 15 minutes it kept re loading and passing to diffrent drivers in the end i cancalled and caught a black cab,28-Dec-22
Emma,1 review,"Scam! The driver asked me to cancel the ride and pay cash after the Bolt app wouldn't let us modify the address or restart a new ride. I cancelled and paid cash only to see that Bolt app charged me anyway and are refusing to pay me back after I'm asking for a refund. Just lost customers, 100% do not recommend to anyone.",9-Dec-22
Yulia Komarova,3 reviews,"Fraudulent. Appaling service from both drivers and customer service. Hardly speak any English, rude, negligent, unhelpful and dismissive. When I complained to customer service they made false accusation and suspended my account within 24 hours, blocked my efforts to liase the problem. Pure fraud to avoid responsibility for lousy service which led to jeopardising safety of the rider. Kept my money and refused to return",20-Dec-22
Lewis K,12 reviews,We needed a cab ride to the pub and back. First cab cancelled after waiting 3 minutes. We were charged full fare. Needed a cab to get back. Cancelled again after 4 mins. We were charged £100 for absolutely nothing. We will never use bolt again and advise you to do the same.,27-Dec-22
